trade_id,timestamp,symbol,direction,status,gate_combo_tag,rr_ratio,rejection_reason,outcome,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,shadow_net_pnl,date_utc
175,2026-08-01 01:00:00+00:00,XRPUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,0.65,R:R Hurdle Failure: R:R = 0.65 < 1.00,SHADOW_TAKE_PROFIT_HIT,0.0,0.0,0.0,0.2,0.3,0.26,-0.15,0.2,0.0,0.0,0.0,0.0,0.0,9997.35,0.42,0.01,2026-08-01
176,2026-08-01 01:00:00+00:00,SOLUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,0.35,R:R Hurdle Failure: R:R = 0.35 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.11,0.33,0.08,-0.16,-0.16,0.0,0.0,0.0,0.0,0.0,9997.35,0.42,-1.53,2026-08-01
177,2026-08-01 02:00:00+00:00,BTCUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,0.92,R:R Hurdle Failure: R:R = 0.92 < 1.00,SHADOW_TAKE_PROFIT_HIT,0.0,0.0,0.0,0.08,0.09,0.21,-0.08,0.08,0.0,0.0,0.0,0.0,0.0,9997.35,0.42,-0.45,2026-08-01
178,2026-08-01 03:15:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,3.9,None,TIME_CLOSE_EXIT,149.96,5.0,749.8,1.03,0.27,0.08,-0.11,-0.15,-1.12,0.6,0.75,1.35,-2.47,9994.88,0.44,,2026-08-01
179,2026-08-01 04:00:00+00:00,SOLUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,1.1,None,TIME_CLOSE_EXIT,149.92,3.0,449.77,0.21,0.19,0.16,-0.1,-0.21,-0.94,0.36,0.45,0.81,-1.75,9993.13,0.46,,2026-08-01
180,2026-08-01 05:45:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,4.93,None,TIME_CLOSE_EXIT,49.97,5.0,249.83,0.93,0.19,0.39,-0.11,0.07,0.17,0.2,0.25,0.45,-0.27,9992.85,0.46,,2026-08-01
181,2026-08-01 05:45:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,4.15,None,TIME_CLOSE_EXIT,149.89,5.0,749.46,1.16,0.28,0.36,-0.25,0.0,0.0,0.6,0.75,1.35,-1.35,9991.5,0.48,,2026-08-01
182,2026-08-01 06:30:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,1.28,None,TAKE_PROFIT_HIT,149.87,3.0,449.62,0.44,0.34,0.57,-0.43,0.44,1.98,0.36,0.45,0.81,1.17,9992.68,0.47,,2026-08-01
183,2026-08-01 10:00:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,2.1,None,TIME_CLOSE_EXIT,149.89,5.0,749.45,0.52,0.25,0.03,-0.17,-0.11,-0.82,0.6,0.75,1.35,-2.17,9990.5,0.49,,2026-08-01
184,2026-08-01 10:00:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,1.27,None,TIME_CLOSE_EXIT,149.86,5.0,749.29,0.53,0.42,0.08,-0.24,-0.24,-1.8,0.6,0.75,1.35,-3.15,9987.36,0.52,,2026-08-01
185,2026-08-01 11:45:00+00:00,XRPUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,1.0,None,TIME_CLOSE_EXIT,52.43,1.5,78.65,0.25,0.25,0.24,-0.06,-0.08,-0.06,0.06,0.08,0.14,-0.2,9987.15,0.52,,2026-08-01
186,2026-08-01 12:00:00+00:00,BTCUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,1.66,None,TIME_CLOSE_EXIT,149.81,3.0,449.42,0.17,0.1,0.04,-0.08,-0.06,-0.27,0.36,0.45,0.81,-1.08,9986.07,0.53,,2026-08-01
187,2026-08-01 13:00:00+00:00,DOGEUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,0.9,R:R Hurdle Failure: R:R = 0.90 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.53,0.59,0.23,-0.26,-0.29,0.0,0.0,0.0,0.0,0.0,9986.07,0.53,-0.37,2026-08-01
188,2026-08-01 13:00:00+00:00,ETHUSDT,LONG,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,1.13,None,TAKE_PROFIT_HIT,49.93,5.0,249.65,0.17,0.15,0.32,-0.1,0.17,0.42,0.2,0.25,0.45,-0.03,9986.05,0.53,,2026-08-01
189,2026-08-01 13:00:00+00:00,SOLUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,0.57,R:R Hurdle Failure: R:R = 0.57 < 1.00,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,0.17,0.29,0.1,-0.15,-0.19,0.0,0.0,0.0,0.0,0.0,9986.05,0.53,-1.66,2026-08-01
190,2026-08-01 15:30:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,3.32,None,TAKE_PROFIT_HIT,149.79,5.0,748.95,1.1,0.33,3.08,-0.16,1.1,8.25,0.6,0.75,1.35,6.9,9992.95,0.46,,2026-08-01
191,2026-08-01 15:30:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,2.88,None,TAKE_PROFIT_HIT,149.89,5.0,749.47,0.41,0.14,1.23,-0.02,0.41,3.09,0.6,0.75,1.35,1.74,9994.69,0.45,,2026-08-01
192,2026-08-01 16:00:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,6.96,None,TAKE_PROFIT_HIT,49.97,5.0,249.87,1.45,0.21,1.47,-0.16,1.45,3.63,0.2,0.25,0.45,3.18,9997.86,0.41,,2026-08-01
193,2026-08-01 16:45:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,7.84,None,TAKE_PROFIT_HIT,149.97,5.0,749.84,0.67,0.09,2.5,-0.08,0.67,5.04,0.6,0.75,1.35,3.69,10001.56,0.38,,2026-08-01
194,2026-08-01 17:15:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,2.31,None,TAKE_PROFIT_HIT,150.02,3.0,450.07,1.23,0.53,3.05,-0.19,1.23,5.52,0.36,0.45,0.81,4.71,10006.27,0.33,,2026-08-01
195,2026-08-01 21:30:00+00:00,XRPUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,0.59,R:R Hurdle Failure: R:R = 0.59 < 1.00,SHADOW_TAKE_PROFIT_HIT,0.0,0.0,0.0,0.36,0.61,2.38,-0.24,0.36,0.0,0.0,0.0,0.0,0.0,10006.27,0.33,0.14,2026-08-01
196,2026-08-01 21:30:00+00:00,BTCUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,0.69,R:R Hurdle Failure: R:R = 0.69 < 1.00,SHADOW_TAKE_PROFIT_HIT,0.0,0.0,0.0,0.24,0.35,1.33,-0.05,0.24,0.0,0.0,0.0,0.0,0.0,10006.27,0.33,0.29,2026-08-01
197,2026-08-01 22:15:00+00:00,SOLUSDT,LONG,REJECTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,0.76,R:R Hurdle Failure: R:R = 0.76 < 1.00,SHADOW_TAKE_PROFIT_HIT,0.0,0.0,0.0,0.4,0.52,2.32,-0.24,0.4,0.0,0.0,0.0,0.0,0.0,10006.27,0.33,1.0,2026-08-01
198,2026-08-01 22:30:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,1.66,None,TIME_CLOSE_EXIT,52.53,1.5,78.8,0.37,0.22,0.07,-0.09,0.0,0.0,0.06,0.08,0.14,-0.14,10006.13,0.33,,2026-08-01
199,2026-08-01 23:00:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,1.22,None,TAKE_PROFIT_HIT,52.53,1.5,78.8,0.56,0.46,2.04,-0.25,0.56,0.44,0.06,0.08,0.14,0.3,10006.43,0.33,,2026-08-01
200,2026-08-01 23:00:00+00:00,ETHUSDT,LONG,EXECUTED,LOW_RISK__LOW_QUAL__HIGH_PROFIT,2.27,None,TIME_CLOSE_EXIT,50.03,5.0,250.16,0.32,0.14,0.14,-0.01,0.0,0.0,0.2,0.25,0.45,-0.45,10005.98,0.33,,2026-08-01
201,2026-08-01 23:15:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,2.64,None,TIME_CLOSE_EXIT,150.09,5.0,750.45,0.57,0.22,0.02,-0.15,-0.07,-0.53,0.6,0.75,1.35,-1.88,10004.1,0.35,,2026-08-01
202,2026-08-02 00:00:00+00:00,ETHUSDT,LONG,EXECUTED,LOW_RISK__LOW_QUAL__HIGH_PROFIT,10.23,None,TAKE_PROFIT_HIT,50.02,5.0,250.1,1.2,0.12,2.0,-0.22,1.2,3.01,0.2,0.25,0.45,2.56,10006.66,0.33,,2026-08-02
203,2026-08-02 08:30:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,2.08,None,TIME_CLOSE_EXIT,150.1,5.0,750.5,0.73,0.35,0.39,-0.26,0.01,0.08,0.6,0.75,1.35,-1.28,10005.38,0.34,,2026-08-02
204,2026-08-02 08:30:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,1.48,None,TAKE_PROFIT_HIT,150.08,5.0,750.4,0.87,0.59,1.07,-0.21,0.87,6.5,0.6,0.75,1.35,5.15,10010.53,0.29,,2026-08-02
205,2026-08-02 08:45:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__HIGH_QUAL__HIGH_PROFIT,1.36,None,TIME_CLOSE_EXIT,150.16,3.0,450.47,0.67,0.49,0.24,-0.19,-0.29,-1.31,0.36,0.45,0.81,-2.12,10008.42,0.31,,2026-08-02
206,2026-08-02 08:45:00+00:00,SOLUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,2.58,None,TIME_CLOSE_EXIT,150.13,5.0,750.63,1.13,0.44,0.66,-0.34,-0.04,-0.3,0.6,0.75,1.35,-1.65,10006.76,0.33,,2026-08-02
207,2026-08-02 10:30:00+00:00,XRPUSDT,SHORT,EXECUTED,LOW_RISK__LOW_QUAL__LOW_PROFIT,1.47,None,TIME_CLOSE_EXIT,50.03,5.0,250.17,0.42,0.29,0.31,-0.18,-0.03,-0.08,0.2,0.25,0.45,-0.53,10006.24,0.33,,2026-08-02
