trade_id,timestamp,symbol,direction,status,gate_combo_tag,rejection_reason,outcome,margin_allocated,leverage,notional_position,dynamic_tp_pct,dynamic_sl_pct,actual_mfe_pct,actual_mae_pct,gross_return_pct,gross_pnl,fees_paid,slippage_cost,friction_tax,net_pnl,account_equity,drawdown_pct,shadow_net_pnl,date_utc
771,2026-08-22 08:30:00+00:00,XRPUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,73.5,2.5,183.74,2.9,2.88,6.26,-1.33,2.9,5.33,0.15,0.18,0.33,5.0,9804.55,2.23,,2026-08-22
772,2026-08-22 12:45:00+00:00,ETHUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,24.51,2.5,61.28,0.93,0.54,0.21,-0.26,0.08,0.05,0.05,0.06,0.11,-0.06,9804.49,2.23,,2026-08-22
773,2026-08-22 12:45:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,73.53,2.5,183.83,0.82,0.52,0.11,-0.05,-0.17,-0.31,0.15,0.18,0.33,-0.64,9803.84,2.24,,2026-08-22
774,2026-08-22 12:45:00+00:00,SOLUSDT,LONG,EXECUTED,HIGH_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,12.25,1.0,12.25,2.01,0.78,0.5,-0.31,0.04,0.0,0.01,0.01,0.02,-0.02,9803.82,2.24,,2026-08-22
775,2026-08-22 13:00:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,36.76,1.0,36.76,2.25,1.44,0.62,-0.22,-0.78,-0.29,0.03,0.04,0.07,-0.35,9803.47,2.24,,2026-08-22
776,2026-08-22 13:30:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,147.05,5.0,735.26,0.19,0.44,0.04,-0.05,0.0,0.0,0.59,0.74,1.32,-1.32,9802.15,2.26,,2026-08-22
777,2026-08-22 13:45:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,73.52,2.5,183.79,0.79,0.49,0.09,-0.18,0.0,0.0,0.15,0.18,0.33,-0.33,9801.82,2.26,,2026-08-22
778,2026-08-22 14:00:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TIME_CLOSE_EXIT,147.03,5.0,735.14,0.33,0.68,0.19,-0.36,-0.22,-1.62,0.59,0.74,1.32,-2.94,9798.88,2.29,,2026-08-22
779,2026-08-22 14:00:00+00:00,ETHUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,73.49,2.5,183.73,0.63,0.98,0.54,-0.53,-0.16,-0.29,0.15,0.18,0.33,-0.62,9798.25,2.3,,2026-08-22
780,2026-08-22 14:15:00+00:00,DOGEUSDT,SHORT,EXECUTED,HIGH_RISK__LOW_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,12.25,1.0,12.25,0.72,1.27,1.39,-0.41,0.72,0.09,0.01,0.01,0.02,0.07,9798.32,2.3,,2026-08-22
781,2026-08-22 14:30:00+00:00,SOLUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,73.49,2.5,183.72,1.08,1.41,0.5,-0.8,-0.63,-1.16,0.15,0.18,0.33,-1.49,9796.83,2.31,,2026-08-22
782,2026-08-22 16:30:00+00:00,SOLUSDT,LONG,EXECUTED,HIGH_RISK__LOW_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,12.25,1.0,12.25,2.16,1.46,0.32,-0.77,-1.05,-0.13,0.01,0.01,0.02,-0.15,9796.68,2.31,,2026-08-22
783,2026-08-22 16:30:00+00:00,DOGEUSDT,LONG,EXECUTED,HIGH_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,36.74,1.0,36.74,2.76,1.85,3.87,-0.71,2.76,1.01,0.03,0.04,0.07,0.95,9797.63,2.3,,2026-08-22
784,2026-08-22 16:30:00+00:00,BTCUSDT,LONG,EXECUTED,MED_RISK__HIGH_QUAL__HIGH_PROFIT,None,TIME_CLOSE_EXIT,73.48,2.5,183.71,0.77,0.76,0.2,-0.32,-0.45,-0.83,0.15,0.18,0.33,-1.16,9796.47,2.31,,2026-08-22
785,2026-08-22 17:00:00+00:00,ETHUSDT,LONG,EXECUTED,MED_RISK__LOW_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,24.49,2.5,61.23,0.77,0.45,0.85,-0.28,0.77,0.47,0.05,0.06,0.11,0.36,9796.83,2.31,,2026-08-22
786,2026-08-22 18:00:00+00:00,XRPUSDT,LONG,REJECTED,HIGH_RISK__LOW_QUAL__LOW_PROFIT,Consensus Failure: HIGH_RISK + LOW_QUAL + LOW_PROFIT,SHADOW_TIME_CLOSE_EXIT,0.0,0.0,0.0,2.69,1.35,2.3,-0.26,0.14,0.0,0.0,0.0,0.0,0.0,9796.83,2.31,-0.0,2026-08-22
787,2026-08-22 21:15:00+00:00,ETHUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__HIGH_PROFIT,None,TAKE_PROFIT_HIT,146.95,5.0,734.76,0.71,0.6,0.76,-0.04,0.71,5.23,0.59,0.73,1.32,3.91,9800.74,2.27,,2026-08-22
788,2026-08-22 21:15:00+00:00,BTCUSDT,SHORT,EXECUTED,LOW_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,147.01,5.0,735.06,0.25,0.25,0.53,-0.03,0.25,1.85,0.59,0.74,1.32,0.53,9801.27,2.27,,2026-08-22
789,2026-08-22 21:15:00+00:00,SOLUSDT,SHORT,EXECUTED,MED_RISK__HIGH_QUAL__LOW_PROFIT,None,TAKE_PROFIT_HIT,73.51,2.5,183.77,0.78,0.99,1.33,-0.13,0.78,1.43,0.15,0.18,0.33,1.1,9802.37,2.26,,2026-08-22
