Direction,Type,Target,Max_Depth,Min_Samples_Leaf,Score,Time_s
LONG,Regression,entry_timing,2,1,0.005110338221131672,4.021620035171509
LONG,Regression,entry_timing,2,5,0.00607286943448726,3.971808433532715
LONG,Regression,entry_timing,2,10,0.006351159055493771,3.873593330383301
LONG,Regression,entry_timing,2,20,0.006748882633161224,3.918727159500122
LONG,Regression,entry_timing,3,1,0.005155903122461702,4.814815998077393
LONG,Regression,entry_timing,3,5,0.007623855896168719,4.843724489212036
LONG,Regression,entry_timing,3,10,0.00877301414850804,4.744416952133179
LONG,Regression,entry_timing,3,20,0.009255930004801582,4.8577423095703125
LONG,Regression,entry_timing,4,1,0.001938976357601141,5.892954349517822
LONG,Regression,entry_timing,4,5,0.008201155188745913,5.986336946487427
LONG,Regression,entry_timing,4,10,0.00985156829214211,5.990525722503662
LONG,Regression,entry_timing,4,20,0.011378263687498124,5.980564832687378
LONG,Regression,entry_timing,5,1,0.0016107994336092446,6.954715967178345
LONG,Regression,entry_timing,5,5,0.007827082263535234,6.918462038040161
LONG,Regression,entry_timing,5,10,0.010468466667622644,6.937153339385986
LONG,Regression,entry_timing,5,20,0.012224817619472495,6.841642618179321
LONG,Regression,entry_timing,6,1,-0.0040584636050912115,7.865089416503906
LONG,Regression,entry_timing,6,5,0.008182454294642861,7.852961301803589
LONG,Regression,entry_timing,6,10,0.01157571940704345,7.796476602554321
LONG,Regression,entry_timing,6,20,0.01362728167906615,7.803086519241333
LONG,Regression,entry_timing,7,1,-0.003574393895778827,8.862168073654175
LONG,Regression,entry_timing,7,5,0.0065722778297479635,8.898017644882202
LONG,Regression,entry_timing,7,10,0.00985591287502563,8.833271026611328
LONG,Regression,entry_timing,7,20,0.014135781664142954,8.664344310760498
LONG,Regression,exit_timing,2,1,0.015843921100743306,20.202453136444092
LONG,Regression,exit_timing,2,5,0.01618345400269907,20.1722412109375
LONG,Regression,exit_timing,2,10,0.016254605721037853,20.01435112953186
LONG,Regression,exit_timing,2,20,0.01658471555705232,20.574074506759644
LONG,Regression,exit_timing,3,1,0.0197289567202233,29.88734769821167
LONG,Regression,exit_timing,3,5,0.02095917222514059,29.490885019302368
LONG,Regression,exit_timing,3,10,0.021000148127471974,29.659346342086792
LONG,Regression,exit_timing,3,20,0.02152112679241802,29.5588481426239
LONG,Regression,exit_timing,4,1,0.022803254661948547,38.44550323486328
LONG,Regression,exit_timing,4,5,0.02507233876941193,38.37227940559387
LONG,Regression,exit_timing,4,10,0.025560890685218073,39.98885488510132
LONG,Regression,exit_timing,4,20,0.02676198091414339,39.539649963378906
LONG,Regression,exit_timing,5,1,0.02473035462363151,48.579946756362915
LONG,Regression,exit_timing,5,5,0.028308387565741076,47.944127321243286
LONG,Regression,exit_timing,5,10,0.029817540819653775,46.98817038536072
LONG,Regression,exit_timing,5,20,0.03135775435888144,46.46319341659546
LONG,Regression,exit_timing,6,1,0.027487230933352747,55.86538219451904
LONG,Regression,exit_timing,6,5,0.03283676235930466,55.505512714385986
LONG,Regression,exit_timing,6,10,0.03420110576323667,55.38218402862549
LONG,Regression,exit_timing,6,20,0.03716731282759809,54.712197065353394
LONG,Regression,exit_timing,7,1,0.02850622794634352,64.783118724823
LONG,Regression,exit_timing,7,5,0.035934837005760875,65.32055616378784
LONG,Regression,exit_timing,7,10,0.03856371689510714,63.46590566635132
LONG,Regression,exit_timing,7,20,0.04095729998995503,62.99895191192627
SHORT,Regression,profit,2,1,0.09159449514694062,9.98305630683899
SHORT,Regression,profit,2,5,0.09286739799855866,10.120025396347046
SHORT,Regression,profit,2,10,0.09364296129603769,9.816715002059937
SHORT,Regression,profit,2,20,0.09439945815813441,9.747479915618896
SHORT,Regression,profit,3,1,0.11823531633791569,13.854109287261963
SHORT,Regression,profit,3,5,0.1203902591881858,13.760671854019165
SHORT,Regression,profit,3,10,0.12055554491050753,13.80442476272583
SHORT,Regression,profit,3,20,0.12060423915553553,13.806797981262207
SHORT,Regression,profit,4,1,0.13036607638515021,17.672566652297974
SHORT,Regression,profit,4,5,0.1315321126314319,17.749794006347656
SHORT,Regression,profit,4,10,0.13232769088178722,17.93043088912964
SHORT,Regression,profit,4,20,0.13176732127236185,17.817830562591553
SHORT,Regression,profit,5,1,0.13420933260955364,21.933676958084106
SHORT,Regression,profit,5,5,0.13734228143076258,21.794796228408813
SHORT,Regression,profit,5,10,0.13720497706305793,21.62713074684143
SHORT,Regression,profit,5,20,0.13856167953334825,21.404513835906982
SHORT,Regression,profit,6,1,0.13222939205385895,25.452617406845093
SHORT,Regression,profit,6,5,0.14055536622044423,25.13495421409607
SHORT,Regression,profit,6,10,0.14122108833467778,25.064646005630493
SHORT,Regression,profit,6,20,0.14321081150898696,25.03088355064392
SHORT,Regression,profit,7,1,0.13252797485417717,29.1068696975708
SHORT,Regression,profit,7,5,0.14173532654316218,28.547565937042236
SHORT,Regression,profit,7,10,0.14640266929188678,28.38186264038086
SHORT,Regression,profit,7,20,0.14566364789116187,28.204596281051636
SHORT,Regression,quality,2,1,0.03279928296880872,4.804795265197754
SHORT,Regression,quality,2,5,0.03369793651561921,4.914202690124512
SHORT,Regression,quality,2,10,0.03403294009119791,4.819481372833252
SHORT,Regression,quality,2,20,0.03452921537027098,4.858157157897949
SHORT,Regression,quality,3,1,0.043146476833673855,6.308511972427368
SHORT,Regression,quality,3,5,0.045995061221971965,6.440419673919678
SHORT,Regression,quality,3,10,0.04680917977434109,6.368543863296509
SHORT,Regression,quality,3,20,0.04730805155152042,6.2922093868255615
SHORT,Regression,quality,4,1,0.050654565383052574,7.705479621887207
SHORT,Regression,quality,4,5,0.053284397964532125,7.650450229644775
